a’bbõnd,ˈɑˀbːənd
kīš,ˈkiːʃ
kǭrand,ˈkɒːrɑnd
kuldi,ˈkuldi
kǭ’dõkssadā,ˈkɒːˀdəkssɑdɑː
kunāɡid,ˈkunɑːɡid
kuordit,ˈkuordit
kūdkimdõz,ˈkuːdkimdəz
laidõr,ˈlɑidər
krī’evõmǭ,ˈkriːˀevəmɒː
kuo’žžõ,ˈkuoˀʒːə
kū’j,ˈkuːˀj
lejā,ˈlejɑː
kūldõ,ˈkuːldə
līt,ˈliːt
līvõz,ˈliːvəz
lēba,ˈleːbɑ
limā,ˈlimɑː
lõ’vvõ,ˈlɯˀvːə
mõtsākaits,ˈmɯtsɑːkɑits
ļäpā,ˈʎæpɑː
munādkuoț,ˈmunɑːdkuoc
mõlā,ˈmɯlɑː
nabā,ˈnɑbɑː
nǟna,ˈnæːnɑ
ȭ’ɡ,ˈɯːˀɡ
ovāri,ˈovɑːri
ņ,ɲ
nūolõ,ˈnuːolə
pǟldõ,ˈpæːldə
pē’ḑõn,peːˀɟən
ǭ’dõz,ˈɒːˀdəz
pie’zzõ,ˈpieˀzːə
povār,ˈpovɑːr
pǟl,ˈpæːl
pūolīe,ˈpuːoliːe
pierāst,ˈpierɑːst
pūoļ,ˈpuːoʎ
pǭ’dõz,ˈpɒːˀdəz
rēkõ,ˈreːkə
sa’ddõl,ˈsɑˀdːəl
pūŗaz,ˈpuːrʲɑz
ro’v,ˈroˀv
sä’ltõ,ˈsæˀltə
tabāndõks,ˈtɑbɑːndəks
tilp,ˈtilp
tīeažā,ˈtiːeɑʒɑː
sȭira,ˈsɯːirɑ
tašīņtõ,ˈtɑʃiːɲtə
va’imõst,ˈvɑˀiməst
tundtõb,ˈtundtəb
vä’zzõ,ˈvæˀzːə
vä’ɡ,ˈvæˀɡ
viš,ˈviʃ
vizā,ˈvizɑː
ukkõ,ˈukːə
palāɡ,ˈpɑlɑːɡ
lušti,ˈluʃti
proɡram,ˈproɡrɑm
pa’j,ˈpɑˀj
u’ddi,ˈuˀdːi
rūost,ˈruːost
midžā,ˈmidʒɑː
pu’ɡɡõ,ˈpuˀɡːə
